Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
10549,YASUFUKU INDONESIA,L 8,Jl. Jababeka VII,1,Barang karet/plastik untuk kendaraan bermotor,Plastik,Japan,Kavling
16880,KATSUSHIRO INDONESIA,I 17-18,Jl. Jababeka XII,1,Alat berat,Otomotif,Japan,Kavling
864,SHUNBAILI CARPET DEVELOPMENT,CC 30,Jl. Jababeka IIJ,1,,Others,Indonesia,TOB
1152,ROMINDO PRIMAVETCOM,C 18 R,Jl. Jababeka IIID,1,Ind. & perdg. Obat-obatan dan vaksin utk hewan,Farmasi,Indonesia,TOB
1218,KIMIA YASA,K 6 B,Jl. Jababeka VII,1,LPG (Kantor),Trading,Indonesia,SFB
20696,PERDANA MANUFAKTUR INDUSTRI,W 1-2,Jl. Jababeka VI,1,Peredam panas,Plastik,China,Kavling
1330,BESI TECH INDOKO,K 7 D,Jl. Jababeka XIA,1,Spring wire,Baja/Logam,South Korea,SFB
864,GEOSADI MAPROTEC,CC 29,Jl. Jababeka IIJ,1,Perdagangan Barang dan Jasa,Jasa,Indonesia,TOB
1218,SENTOSA EKA PERDANA PRIMA,K 9 A,Jl. Jababeka XIA,1,Chemical,Kimia,Indonesia,SFB
5428,STILMETINDO PRIMA,W 16,Jl. Jababeka XIIB,1,Mold and dies,Plastik,Indonesia,Kavling
2304,WIJARA NAGATSUPAZKI,CC 4-5,Jl. Jababeka IIG,1,Manufacturing,Mesin,Indonesia,TOB
4227,CITRA PLASTIK MAKMUR,J 4 F-G,Jl. Jababeka XIVA,1,"Otomotif, elektronik",Elektronik,Indonesia,Kavling
1272,AUK NEW MATERIAL,C 19 J,Jl. Jababeka IIID,1,Concrete admixture,Material Bangunan,China,TOB
1218,SPECTRA KIMIA KENCANA,K 9 E,Jl. Jababeka XIB,1,Kimia Dasar organik yang menghasilkan kimia khusus,Kimia,Indonesia,SFB
1908,RAMA INTERBUANA,K 1 L,Jl. Jababeka VIID,1,Industri Dies Moulding,Metal Fabrication,Indonesia,SFB
1353,EGAMEKINKA PRATAMA,K 10 E,Jl. Jababeka XIB,1,Frame base plat,Metal Fabrication,Indonesia,SFB
1740,HONGIK INDONESIA,U 8 E,Jl. Jababeka XVIB,1,Scrap logam (limbah),Jasa,Indonesia,SFB
1740,FUCHS INDONESIA,J 6 K,Jl. Jababeka VIB,1,Lubricants,Kimia,Germany,SFB
1468,TRIM PANDU ENGINEERING,K 10 A,Jl. Jababeka XIB,1,"Trailer, Bagesting",Metal Fabrication,Indonesia,SFB
1218,KASTRACO ENGINEERING,K 9 D,Jl. Jababeka XIA,1,Bahan kimia water treatment,Kimia,Indonesia,SFB
1272,GOBEL DHARMA SARANA KARYA,C 17 R,Jl. Jababeka IIIG,1,Catering/foods,Consumer Goods,Indonesia,TOB
864,BOROBUDUR AGUNG PERKASA,C 18 I,Jl. Jababeka III,1,Pelumas & grease,Otomotif,Indonesia,TOB
1380,KAILO SUMBER KASIH,K 1 J,Jl. Jababeka VIID,1,"Polybag, foam bag, pe-foam, aircap, pe-piping, pe-board, opptape",Plastik,South Korea,SFB
1152,DEMAK INDAH KENCANA,C 16 Q,Jl. Jababeka IIG,1,Pallet kayu dan plastik,Plastik,Indonesia,TOB
2760,CASUARINA HARNESSINDO,J 10 EA,Jl. Jababeka XIV,1,Industri perakitan kabel listrik dan elektronik lainnya,Otomotif,Indonesia,SFB
864,SIN SIONG MEN,CC 33,Jl. Jababeka IIJ,1,Gudang,Others,Indonesia,TOB
1152,SANG WAN DINASINDO,C 15 M,Jl. Jababeka IIE,1,"Back cover, cabinet, etc",Plastik,Indonesia,TOB
1152,CITRA ARANI TEHNIK,C 16 W,Jl. Jababeka IIG,1,Metal Stamping Speciality,Metal Fabrication,Indonesia,TOB
1380,BESTPACK COATING INDONESIA,J 10 C,Jl. Jababeka XIV,1,Coating (pelapisan / jasa coating),Kimia,Indonesia,SFB
958,WIRA UTAMA KREASINDO,CC 18,Jl. Jababeka IIH,1,Spare part/komponen/interior kendaraan roda 4 atau lebih,Otomotif,Indonesia,TOB
1073,TRITAMA TEKNOLOGI INDONESIA,K 10 D,Jl. Jababeka XIB,1,Hardcrome Plating& Hydraulic Cylinder,Jasa,Indonesia,TOB
1272,ASTECH INDONESIA,C 18 N,Jl. Jababeka IIID,1,"Water tank, chemical tank, FRP other",Kimia,Japan,TOB
1380,LINIEL MAS,J 11 C,Jl. Jababeka XIV,1,Gudang,Others,Indonesia,SFB
1152,DAEHYUN BOBBIN INDONESIA,C 17 P,Jl. Jababeka IIIG,1,Industri komponen elektronik,Elektronik,South Korea,TOB
1163,METALINDO MULTIDINAMIKA MANDIRI,C 17 X,Jl. Jababeka IIIH,1,Wiring Harness& parking Sensor,Otomotif,Indonesia,TOB
1152,TIWI UTOMO INVESTAMA,C 17 N,Jl. Jababeka IIIG,1,Otomotif,Otomotif,Indonesia,TOB
864,TJIA WIWIN ANGGONO,C 17 D,Jl. Jababeka IIIH,1,Otomotif,Otomotif,Indonesia,TOB
1218,RAJALU,J 6 D,Jl. Jababeka VIA,1,Gudang,Others,Indonesia,SFB
1602,CREATIVE CULINARY,C 17 T,Jl. Jababeka IIIH,1,"Industri produk roti dan kue, pengolahan es krim, dan industri makanan dan masakan olahan",Makanan,Indonesia,SFB
966,BAGUS INDOLABEL,K 9 B,Jl. Jababeka XIA,1,Printing & Publishing,Packaging,Indonesia,TOB
1380,SATYA MAS INDORAYA,J 11 D,Jl. Jababeka XIV,1,Gudang,Others,Indonesia,SFB
864,DOO WON PRECISION INDONESIA,C 18 J,Jl. Jababeka III,1,Metal stamping,Metal Fabrication,South Korea,TOB
1380,KWANG JIN INDONESIA,C 17 Z,Jl. Jababeka IIIH,1,Sabut stainless steel scourer (sabut cuci piring),Consumer Goods,South Korea - Indonesia,TOB
864,INNO TECH INDONESIA,C 17 F,Jl. Jababeka IIIH,1,Karet,Otomotif,South Korea,TOB
1152,SENTA SABUKON INDONESIA,C 16 T,Jl. Jababeka IIG,1,Wire harness,Elektronik,Indonesia,TOB
966,ABRASIVE MATERIAL PRIMA,K 9 G,Jl. Jababeka XIB,1,Grinding Wheels,Jasa,Japan,TOB
5271,SUHAI MATERIAL TECHNOLOGY INDONESIA,V 41,Jl. Jababeka XVI,1,,Others,China,Kavling
1272,BIMA EFISIEN SOLUSI TEKNIK,C 16 P,Jl. Jababeka IIG,1,Industrial Automation,Mesin,Indonesia,TOB
1619,ARFIA MEGAH,R 2 B,Jl. Jababeka VIIG,1,Bahan kimia untuk textile,Kimia,Indonesia,SFB
20000,ZEUS KIMIATAMA INDONESIA,V 74-75,Jl. Jababeka IV,1,Specialty chemicals for industrial water treatment and oil and gas industry,Kimia,Singapore,Kavling
984,MAKITAMEGA MAKMUR PERKASA,C 18 A,Jl. Jababeka III,1,Kabel listrik dan elektronik,Elektronik,Indonesia,TOB
1380,NACHINDO TAPE INDUSTRY,K 2 J,Jl. Jababeka VIIB,1,Industri komponen elektronika,Elektronik,South Korea,SFB
1272,KLINIK ADIKA,C 16 X,Jl. Jababeka IIG,1,Pelayanan kesehatan,Jasa,Indonesia,TOB
5175,INTAN JAYA MEDIKA SOLUSI,W 44,Jl. Jababeka XVI,1,Hemodialysis,Farmasi,Indonesia,Kavling
1584,SETIA PESONA CIPTA,T 2 B,Jl. Jababeka IVC,1,Minuman kemasan (granita),Makanan,Indonesia,SFB
1830,ENERGITAMA CATUDAYA,K 7 A,Jl. Jababeka VII,1,Alat-alat listrik,Elektronik,Singapore,SFB
1380,SYMINDO TIRTA KIMIA,J 10 D,Jl. Jababeka XIV,1,Ferro chloride,Kimia,Indonesia,SFB
8180,KURITA INDONESIA,V 6,Jl. Jababeka XIIA,1,Bahan Kimia untuk Pengolahan Air,Kimia,Japan,Kavling
1997.34,KJ TECH INDONESIA,T 2 D,Jl. Jababeka IVC,1,Suku cadang dan aksesori kendaraan bermotor roda empat atau lebih,Otomotif,South Korea,SFB
864,ANEKA KARYA LESTARI,C 17 H,Jl. Jababeka IIIH,1,Pengumpul dan penyimpanan solvent bekas,Jasa,Indonesia,TOB
1104,BOGA MAS UTAMA,C 1 C,Jl. Samsung 2,UKM,Makanan goreng,Makanan,Indonesia,SFB
