Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
288,GREGAH REKADAYA ABADI,C 16 AK,Jl. Jababeka IIG,1,"Mold, Dies, Jig & Fixtures, Precision parts, Plastic Injection molding",Plastik,Indonesia,SIB
1919,FREEPORT ELECTRONICS INDONESIA,RR 5 H,Jl. Industri Utama 1,2,Kabel konektor (usb),Elektronik,China,SFB
336,HARVEST ARIAKE INDONESIA,C 2 L,Jl. Samsung 2C,UKM,Probiotik Aquaculture (obat hewan) dan Perbekalan Kesehatan Rumah Tangga,Farmasi,Indonesia,COB
864,SSI PRIMA MAS,HH 15,Jl. Industri Selatan,2,Laminasi,Trading,Indonesia,TOB
1196,SARINCI BANYU REKSO,K 12 B,Jl. Jababeka XIII,1,Jasa Sanding,Plastik,Indonesia,SFB
638,INDOSEIKI SUKSES MANDIRI,U 7 D,Jl. Jababeka XVIIB,1,Machining & fabrication,Kimia,Indonesia,TOB
2653,SAEHYUP INDONESIA,V 78 O,Jl. Jababeka IVE,1,Electronic,Elektronik,South Korea,SFB
1908,DONGSEO STS,GG 3 F,Jl. Industri Selatan 4,2,Penyediaan produk olahan (pabrikasi) stainless dan besi,Metal Fabrication,South Korea,SFB
408,IMAJINDORAYA UTAMA,U 7 J,Jl. Jababeka XVIIB,1,Gudang,Others,Indonesia,SIB
468,MITRA MANUNGGAL KARSA,K 3 C,Jl. Jababeka VII,1,"Elektronik, plastik",Plastik,Indonesia,SIB
515,SENTRA MITRA NUSANTARA,C 2 T,Jl. Samsung 2C,UKM,Gudang,Others,Indonesia,COB
1813,SUKSES ABADI ENGINEERING,K 2 O,Jl. Jababeka VIIB,1,Jasa machining dan pabrikasi logam,Jasa,Indonesia,SFB
2420,PROPACK KREASI MANDIRI,RR 5 F,Jl. Industri Utama 1,2,"Carton boz, partition sheet, pad layer sheet",Packaging,Indonesia,SFB
2459,ESTIKA TATA TIARA,RR 2 G,Jl. Industri Utama,2,Abattoir & Beef Processing Indsutry,Makanan,Indonesia,SFB
300,MITRAMULIA LESTARI,J 3 D,Jl. Jababeka XIVA,1,Motovario gear box dan motor,Otomotif,Indonesia,SIB
576,MATCO PRIMA INDONESIA,C 15 D,Jl. Jababeka IIE,1,"Jasa perbaikan (workshop), repair dan maintenance",Jasa,Indonesia,TOB
372,SEITZ INDONESIA,J 3 B,Jl. Jababeka XIVA,1,Bahan kimia pembantu untuk industri makanan,Kimia,Indonesia,SIB
3145,SULY BERSAMA JAYA STEEL,V 78 P,Jl. Jababeka IVE,1,Jasa industri logam,Metal Fabrication,Indonesia,SFB
576,HOWA TECHNOLOGY,U 7 F,Jl. Jababeka XVIIB,1,Machinery Parts Manufacturer,Mesin,Indonesia,TOB
6000,RLC INDONESIA,U 20,Jl. Jababeka XVIIB,1,Pergudangan,Gudang,Indonesia,Kavling
864,AMF INDONESIA,C 19 G,Jl. Jababeka IIID,1,Spare part trucks trading,Otomotif,South Korea,TOB
691,PUTRA MAKMUR ABADI,U 7 B,Jl. Jababeka XVIIB,1,Plastik,Plastik,Indonesia,TOB
995,MUSASHI PAINT INDONESIA,GG 5 A,Jl. Industri Selatan 4,2,Cat,Kimia,Japan,TOB
576,PANCA INTI NUSANTARA SEJAHTERA,GG 5 B,Jl. Industri Selatan 4,2,,Others,Indonesia,TOB
336,ANUGRAH PUTRA KENCANA,C 3 I,Jl. Samsung 2C,UKM,"Perdagangan umum atau industri supply seperti : kimia industri, kimia analis, glassware(alat alat laboratrium), laboratrium instrument , laboratorium equipment, furniture lab( lemari asam, wall bench, island bench, balanced table, lemari kimia, lemari gl",Kimia,Indonesia,SIB
468,PRISMA,K 3 E,Jl. Jababeka VII,1,Air kemasan (Gudang),Makanan,Indonesia,SIB
1908,EONCHEMICALS PUTRA,U 21 F,Jl. Jababeka XVIIH,1,Industri bahan kimia,Kimia,Indonesia,SFB
966,PRABU DJAYA DININGRAT,GG 2 B,Jl. Industri Selatan 3A,2,"Jigs, sparepart dan mould",Mesin,Indonesia,SFB
1008,AFTECH RAND PERKASA,NN 3 H,Jl. Industri Selatan 1A,2,Mold manufacturing,Plastik,Indonesia,TOB
650,SHEIKO TAMA INDONESIA,J 3 A,Jl. Jababeka XIVA,1,,Others,Indonesia,TOB
1640,TAKAHASHI SPRING INDONESIA,RR 2 B,Jl. Industri Utama,2,Pegas/spring,Metal Fabrication,Japan,SFB
1729,VUPLEX INDONESIA,P 6 E,Jl. Jababeka IXB,1,Pembersih plastik dan akrilik,Kimia,UK,SFB
392,HERMAN CHANDRA,C 45 B,Jl. Jababeka III,1,,Others,Indonesia,SIB
1170,CITRAMAS BETATEKNIK SEJAHTERA,K 3 A,Jl. Jababeka VII,1,Aksesoris kendaraan bermotor,Otomotif,Indonesia,SFB
576,NOBLE CHEM INDONESIA,C 16 H,Jl. Jababeka IIE,1,Resin/biji plastik,Plastik,South Korea,TOB
429,TITAN PERSADA INDONESIA,C 45 C,Jl. Jababeka III,1,Mesin dan sparepart,Mesin,Indonesia,SIB
816,SENTRAL METAL MANDIRI,C 16 Z,Jl. Jababeka IIG,1,"Mesin, rantai (Gudang)",Mesin,Indonesia,TOB
300,YOSICO MAJU BERSAMA,J 3 F,Jl. Jababeka XIVA,1,"Navigation, Trade Distribution",Trading,Indonesia,SIB
1426,SYSTEM ENGINEERING INTEGRATOR INDONESIA,A 2 16,Jl. Science Boulevard,5,Industri komponen dan suku cadang mesin-mesin industri serta perdagangan impor,Otomotif,Australia,SFB
3004,SEMTEC,U 20 H,Jl. Jababeka XVIIG,1,Glass,Elektronik,South Korea,SFB
684,SPECTRO CHEMICA,U 7 I,Jl. Jababeka XVIIB,1,"Flexographic ink, offset ink, indelible ink, graphics auxiliaries",Kimia,Indonesia,TOB
702,AROMATECH INTERNASIONAL,K 3 F,Jl. Jababeka VII,1,bahan-bahan aromatik,Kimia,Indonesia,TOB
491,SITI INDONESIA,C 2 U,Jl. Samsung 2C,UKM,Gudang,Others,Italy,SIB
336,GLOBAL COOL,C 3 B,Jl. Samsung 2C,UKM,Trading company in the field of Air-Conditioning & Refrigeration parts & equipments,Trading,Indonesia,SIB
20000,DAWEE ELECTRONIC INDONESIA,U 3 C,Jl. Jababeka XVI,1,PCB,Elektronik,South Korea,Kavling
,YEONHO INDONESIA,GG 3 D,Jl. Industri Selatan 3A,2,Assy komponen elektronik,Elektronik,South Korea,SFB
1218,NIHON ETCHING INDONESIA,GG 2 D,Jl. Industri Selatan 3A,2,Jasa Modifikasi Texture Molding,Jasa,Japan,SFB
576,ANUGRAH CIPTA MANDIRI,GG 5 K,Jl. Industri Selatan 4,2,,Others,Indonesia,TOB
1380,GEMA LESTARI SARANA TEKNIK,U 19 B,Jl. Jababeka XVIIB,1,Komponen steel furniture,Metal Fabrication,Indonesia,SFB
1616,CAHAYATIARA MUSTIKA SCIENTIFIC INDONESIA,P 6 H,Jl. Jababeka IXB,1,Laboratorium dan kimia (pergudangan),Jasa,Japan,SFB
4957,MULTIPANEL INTERMITRA MANDIRI,SS 6 C,Jl. Industri Utara 4,2,"Prefabricated transportable building, electrical house, power control room",Metal Fabrication,Indonesia,Kavling
3050,ATOZZ JAYA INDONESIA,C 34,Jl. Jababeka III,1,Komponen elektronik,Elektronik,South Korea,Kavling
336,TOMY HARTANTO,C 3 D,Jl. Samsung 2C,UKM,Obat Herbal Tradisional,Farmasi,Indonesia,SIB
518,MIRAE TECH INDONESIA,C 45 A,Jl. Jababeka III,1,Bahan Baku Plastik (Resin),Plastik,South Korea,SIB
1426,SINAR ABADI PRITINDO,A2 12A,Jl. Science Boulevard,5,"Penjualan mesin, bahan, dan peralatan untuk industri sablon",Mesin,Indonesia,SFB
1798,SAKURA TECH,A 2 19,Jl. Science Boulevard,5,Product otomotif & electronic,Plastik,Singapore,SFB
18023,ASK TECHNICA INDONESIA,U 3 B,Jl. Jababeka XVI,1,Brake shoe (kampas sepeda motor),Otomotif,Japan,Kavling
2512,SURYA MULTI INDOPACK,P 6 F,Jl. Jababeka IXB,1,Flexible packaging,Packaging,Singapore,SFB
12271,INGRESS MALINDO VENTURES,GG 7 A,Jl. Industri Selatan 6A,2,Weatherstrip dan doorsash,Otomotif,Malaysia,SFB
711,TOMMYS MACHINE INDONESIA,C 1 L,Jl. Samsung 2A,UKM,Industri mesin,Mesin,Japan,TOB
984,JTECH MOLD INDONESIA,NN 3 E,Jl. Industri Selatan 1A,2,Mold,Plastik,South Korea,TOB
21394,ADVANTIS AKAZA INDONESIA,LL 2 B,Jl. Industri Selatan 2,2,Pergudangan dan logistic,Jasa,Srilanka,Kavling
1740,GEMASUARA ADHITAMA,U 21 I,Jl. Jababeka XVIIH,1,Electronic automotive,Otomotif,Indonesia,SFB
19814,CHOWA BIRU KANRI,A 2,Jl. Jababeka Raya,1,"Akomodasi (Hotel, Apartemen) / Holiday inn",Komersil,Indonesia,Kavling
551,SINAR PELITA SEJAHTERA,C 16 AL,Jl. Jababeka IIF,1,"Depot Gas, lpg, argon, oxygent",Kimia,Indonesia,TOB
576,MITRA AGUNG SEJATI,GG 5 C,Jl. Industri Selatan 4,2,Trading Chemical,Kimia,Indonesia,TOB
1908,SYSTEM INDONESIA,GG 3 A,Jl. Industri Selatan 3A,2,Industri barang dan peralatan teknik dari plastik,Plastik,Italy,SFB
1908,ATAP TEDUH LESTARI,U 20 A,Jl. Jababeka XVIIG,1,Jendela UPVC dan alumunium,Material Bangunan,Indonesia,SFB
2296,DJUWITA AGUNG,A 1 C,Jl. Jababeka Raya,1,Pom Bensin (SPBU),Komersil,Indonesia,Kavling
2375,SEOUL PRECISION METAL,K 2 Q,Jl. Jababeka VIIB,1,"Bolts, Nuts, Screws, Rivets and Washers",Otomotif,South Korea,SFB
2454,GLOBAL PARTNERS LOGISTICS,U 21 J,Jl. Jababeka XVIIH,1,"Import, export, bonded warehouse",Gudang,South Korea,SFB
966,ABADI NIAGA PRIMA,GG 2 C,Jl. Industri Selatan 3A,2,Makanan dan minuman,Makanan,Indonesia,TOB
1740,SARANA GRAFIKA INDONESIA,GG 7 C,Jl. Industri Selatan 6A,2,Cylinder making & printing,Packaging,Indonesia,SFB
504,HERBA UTAMA,C 3 G,Jl. Samsung 2C,UKM,Obat Herbal Tradisional,Farmasi,Indonesia,COB
1610,INAURA ANUGERAH,V 69,Jl. Jababeka XVI,1,,Others,Indonesia,SFB
1265,SE HYUN STEEL INDONESIA,V 69 1,Jl. Jababeka XVI,1,"Industri mesin dan perkakas mesin untuk pengerjaan logam, jasa industri untuk berbagai pengerjaan khusus logam dari barang logam",Mesin,South Korea,SFB
1312,STONE MOLD,GG 2 A,Jl. Industri Selatan 3A,2,Reparasi mesin untuk keperluan khusus,Jasa,Taiwan,SFB
503,RAHMAT JAYA,CC 18 B,Jl. Jababeka IIH,1,"Casing lampu, sparepart dan berbagai jenis barang lainnya",Otomotif,Indonesia,SIB
1380,AKARUI INDONESIA,GG 3 J,Jl. Industri Selatan 4,2,"Turnkey Design, Fabrication Installation & Comisioning for the Following",Plastik,Singapore,SFB
1380,EPSINDO JAYA PRATAMA,U 21 B,Jl. Jababeka XVIIH,1,"Pompa ESP, Pompa HPS, VSD",Elektronik,Indonesia,SFB
10000,EVONIK INDONESIA,H 2 B,Jl. Jababeka V,1,Industri kimia dasar organik,Kimia,Germany,Kavling
864,MIGOTO INDONESIA,CC 10,Jl. Jababeka IIH,1,Jasa pewarnaan barang dari logam (painting),Jasa,Indonesia,TOB
698,GLOBAL GEMILANG SUKSES,P 7 A,Jl. Jababeka IXB,1,Pelumas,Otomotif,Indonesia,TOB
1426,AIDA INDONESIA,A 2-9,Jl. Science Boulevard,5,Press machine (trading),Mesin,Japan,SFB
336,SAE ASIA LOGISTIC,C 3 E,Jl. Samsung 2C,UKM,Gudang,Others,Indonesia,SIB
1740,IRE TECH,GG 3 G,Jl. Industri Selatan 4,2,Industri barang-barang dan peralatan teknik dari plastik,Plastik,South Korea,SFB
2310,A & P INDUSTRY INDONESIA,J 5 A,Jl. Jababeka VI,1,Automotive part (metal stamping),Metal Fabrication,South Korea,SFB
504,NAGATA CHEMICAL INDONESIA,C 3 H,Jl. Samsung 2C,UKM,Water Treatment Chemical,Kimia,Indonesia,TOB
2654.74,ACME INTERNATIONAL,J 5 E,Jl. Jababeka VI,1,supplier of every thing high quality used for PLASTIC and METAL INDUSTRIES,Metal Fabrication,Singapore,SFB
576,CISINDO,GG 5 E,Jl. Industri Selatan 4,2,"Manufacture of custom jig, fixture, precision parts and measuring product",Mesin,Indonesia,TOB
1740,KIAN BANGUN PRADIZA,GG 3 H,Jl. Industri Selatan 4,2,Bahan Kimia Dasar Penjernih Air,Kimia,Indonesia,SFB
3528,ACOCHEM INDONESIA,KK 1 B,Jl. Industri Selatan,2,Gudang,Others,Indonesia,SFB
1104,KLINIK GRAHA BINA HUSADA,NN 3 A,Jl. Industri Selatan 1A,2,Klinik Kesehatan,Farmasi,Indonesia,TOB
612,OTASINDO PRIMA SATWA,P 7 F,Jl. Jababeka IXB,1,Produksi Farmasi obat-obatan untuk hewan,Farmasi,Indonesia,SFB
2569,MIJU CAHAYA INDONESIA,U 21 E,Jl. Jababeka XVIIH,1,Plastik Injection & Assembly part,Plastik,South Korea,SFB
1218,BIMA CHEMICAL INDONESIA,K 9 I,Jl. Jababeka XIB,1,,Others,Indonesia,SFB
1512,VERMEER INDONESIA,C 45 G-H,Jl. Jababeka III,1,"Drilling & Mining Machinery, environmental product",Mesin,Singapore,SFB
1380,POLYCOLOR PRIMA PERKASA,U 20 B,Jl. Jababeka XVIIG,1,Manufactures masterbatch and powder,Kimia,Indonesia,SFB
1380,ERIJO BERSAUDARA TEKNIK,U 20 F,Jl. Jababeka XVIIG,1,Gudang sariroti,Makanan,Indonesia,SFB
3393,KOEI TOOL INDONESIA,D 3 A,Jl. Tekno 5,3,Mold Production,Plastik,Japan,SFB
864,POLYMER TECHNO INDUSTRY,GG 5 L,Jl. Industri Selatan 4,2,Custom injection plastic,Plastik,Indonesia,TOB
1380,POLY FOIL INDONESIA,U 21 G,Jl. Jababeka XVIIH,1,Insulation building,Jasa,Indonesia,SFB
408,CAPCOM,P 7 D,Jl. Jababeka IXB,1,Bonded Warehouse,Elektronik,Taiwan,SIB
408,MITRABINA REKANIAGA,P 7 C,Jl. Jababeka IXB,1,Bahan kimia khusus untuk kebutuhan produksi minyak dan gas,Kimia,Indonesia,SIB
2365,JAEIL INDONESIA,RR 2 A,Jl. Industri Utama,2,Plastik injection,Plastik,Indonesia,SFB
1152,YQ TEK INDONESIA,C 19 M,Jl. Jababeka IIID,1,Trading material bahan baku elektronik,Elektronik,South Korea,TOB
576,SAHABAT METAL SOLUSI,GG 5 O,Jl. Industri Selatan 4,2,"Kamera, sensor, barcode reader, dll",Elektronik,Indonesia,TOB
1380,PURA GROUP,U 20 C,Jl. Jababeka XVIIG,1,Gudang,Others,Indonesia,SFB
664,GREEN PLUS INDONESIA,U 7 C,Jl. Jababeka XVIIB,1,Industri alat pengangkat dan pemindah,Jasa,Japan,TOB
20135,TSANN KUEN PROPERTY DEVELOPMENT INDONESIA,BB 1-4,Jl. Niaga Raya,2,"Supermarket, pembangunan dan pengelolaan pusat perbelanjaan serta departemen",Komersil,Taiwan,Kavling
1820,TARIUS TATANG WIDJAJA,H 1 A,Jl. Jababeka V,1,Gudang,Others,Indonesia,SFB
1297,CAHAYA ABADI SELARAS,H 1 B,Jl. Jababeka V,1,Jasa Powder Coating,Jasa,Indonesia,SFB
1362,RKINDO PARTS MANUFACTURING,H 1 C,Jl. Jababeka V,1,,Others,Indonesia,SFB
1830,DAWEE CNC INDONESIA,U 20 D,Jl. Jababeka XVIIG,1,"Roller, drilling & acrilic",Elektronik,South Korea,SFB
643,RATU BERLIAN CHRONICLE,P 7 I,Jl. Jababeka IXB,1,"Komponen spare part elektronik dari bahan plastik, Injection molding plastik",Plastik,Indonesia,SFB
9439,BRITE POLYMER,E 1-3,Jl. Jababeka Raya,1,Plastik masterbatch,Plastik,Indonesia,Kavling
20000,DETPAK INDONESIA,E 4-5,Jl. Jababeka Raya,1,Industri kemasan dan kotak dari kertas dan karton,Packaging,Australia,Kavling
1380,KOSMEDIKATAMA SETIA INDONESIA,U 20 G,Jl. Jababeka XVIIG,1,Industri Kosmetik,Kosmetik,Indonesia,SFB
576,BETSO TECH INDONESIA,PP 2 C,Jl. Industri Selatan 1,2,Stamping tool/Dies Maker,Metal Fabrication,South Korea,TOB
576,SENTRA GLOBAL ELEKTRINDO,PP 2 E,Jl. Industri Selatan 1,2,Perakitan transformer dan kabel harness untuk peralatan elektronik,Elektronik,Indonesia,TOB
1380,DWI FILTER JAYA,EE 2 G,Jl. Industri Selatan 4,2,Filter industri,Elektronik,Indonesia,SFB
7540,LESTARI TEKNIK PLASTIKATAMA,H 1 E-F,Jl. Jababeka XI,1,Industri komp sepeda motor dan sejenisnya,Otomotif,Indonesia,SFB
20000,NT INDONESIA,B 2 A,Jl. East Park Boulevard,6,Produk otomotif,Otomotif,Japan,Kavling
24459,JAVA PRIMA GLOBAL,WW,Jl. Niaga Utara,2,Perhotelan (Java palace),Komersil,Indonesia,Kavling
408,FUDAINDO PACKING INDUSTRY,P 7 E,Jl. Jababeka IXB,1,"Industri barang dari plastik untuk pengemasan, antara lain box impraboard, vacuum tray, KWH Meter Accessories dan Carton box",Plastik,Indonesia,SIB
1576,SINAR GADING SAKTI,A3 11,Jl. Tekno Boulevard,3,Automatic door hardware,Elektronik,indonesia,SFB
1150,KREATIF MANDIRI TEKNOLOGI,A2 3,Jl. Science Boulevard,5,Gudang,Others,Indonesia,SFB
576,K & D ELECTRONICS INDONESIA,PP 2 D,Jl. Industri Selatan 1,2,Membrane switch,Jasa,Japan,TOB
1018,CIPTA PANGAN MULIA,P 9 A,Jl. Jababeka IXB,1,"Selai, isian roti, toping, saus manis",Makanan,Indonesia,SFB
1576,SANTANA GRAFIKA,A3 3,Jl. Tekno Boulevard,3,,Others,Indonesia,SFB
698,HIMAWANTARA GUNA AGUNG,P 8 A,Jl. Jababeka IXB,1,"Plastik Injection Plastik (Perdagangan barang dan jasa), Injection Moulding",Plastik,Indonesia,TOB
612,KARYA BUSANA INDONESIA,P 10 D,Jl. Jababeka IXB,1,Jacket,Jasa,Indonesia,TOB
576,SEFAS PELINDOTAMA,P 9 C,Jl. Jababeka IXB,1,Distributor Pelumas Shell,Kimia,Indonesia,TOB
612,EXINERGY INDONESIA,P 10 E,Jl. Jababeka IXB,1,"Cleaning Solutions, Sanitation & Disinfectant Solutions",Kimia,Indonesia,TOB
576,LM PLASTICS,P 9 B,Jl. Jababeka IXB,1,Plastik Industri,Plastik,Indonesia,TOB
9600,ADYABINA PUTRAMAS LESTARI INVESTAMA,TT 11,Jl. Industri Utara 1,2,Industrial Equipment And Supplies,Jasa,Indonesia,Kavling
2806,TECH ENERGY INDONESIA,A3 1,Jl. Tekno Boulevard,3,"Bahan Kimia, dan Alat Lab Cementing",Kimia,China,SFB
1600,IR. HJ. FARIDA ARYANI,AA 1-2,Jl. Niaga Raya,2,Pom Bensin,Komersil,Indonesia,SFB
1150,ANDHIKA MITRA TEKNIK,A2 3A,Jl. Science Boulevard,5,"Industri Panel Listrik, Contractor ME & Civil",Elektronik,Indonesia,SFB
2698,MITRA LESTARI MULTIPLAS,C1 C 6,Jl. East Park Boulevard,6,Plastik injection & Plastik packing,Plastik,Indonesia,SFB
470,FEBRIYANTO,U 22 L,Jl. Jababeka XVII-I,1,Gudang,Others,Indonesia,SIB
1104,COCOTAMA MAKMUR ABADI,D 3,Jl. Samsung 2,UKM,Eksportir Arang Briket,Trading,Indonesia,COB
1740,LUAS BIRUS UTAMA,EE 2 D,Jl. Industri Selatan 4,2,Starborn Chemical,Kimia,Indonesia,SFB
1740,DWI MAJU,EE 2 H,Jl. Industri Selatan 2,2,Plastik/Kertas (Gudang),Packaging,indonesia,SFB
878,GISMA CIPTA SUKSES,P 9 D,Jl. Jababeka IXB,1,Jasa service dan retrofit mesin cnc,Jasa,Indonesia,SFB
1380,ION EXCHANGE ASIA PACIFIC,EE 2 C,Jl. Industri Selatan 4,2,Pengelolaan air,Jasa,India,SFB
1908,GLOBAL DIMENSI METALINDO,U 19 A,Jl. Jababeka XVIIB,1,Komponen motor dan mobil,Otomotif,Indonesia,SFB
21394,SETIA GUNA SELARAS,LL 2 A,Jl. Industri Selatan 2,2,Metal part maufacturing dan surface finishing treatment,Otomotif,Indonesia,Kavling
3848,CAHAYA JAKARTA,QQ 8 D,Jl. Industri Selatan 1,2,Printing Label dan Packaging,Packaging,Indonesia,SFB
1943,TARUMA MANDIRI INDONESIA,QQ 8 A,Jl. Industri Selatan 1,2,Industri barang dari plastik untuk pengemasan,Plastik,Indonesia,SFB
408,SUMBER PANGAN JAYA,P 10 B,Jl. Jababeka IXB,1,Pengolahan Makanan,Makanan,Indonesia,SIB
1104,FLEXLINK SYSTEMS,D 2,Jl. Samsung 2,UKM,Conveyor systems,Jasa,Sweden,COB
1547,ASIA GRAND INTERNATIONAL,H 1 J,Jl. Jababeka XI,1,Perdagangan besar suku cadang dan aksesori mobik,Trading,China,SFB
630,INTRAFOOD CITARASA NUSANTARA,QQ 9 G,Jl. Industri Selatan 1,2,Jasa Boga/Catering,Makanan,Indonesia,TOB
1740,ULTIMAX MITRA AGUNG,J 4 I,Jl. Jababeka XIVA,1,Komponen konstruksi (wedges dan anchor block),Material Bangunan,Indonesia,SFB
864,ANDALIRA CIPTA ABADI,GG 5 M,Jl. Industri Selatan 4,2,"Double tape, label dan printing",Packaging,Indonesia,TOB
1822,SINAR SURYA GRAHA PERSADA,H 1 K,Jl. Jababeka XI,1,Workshop,Gudang,Indonesia,SFB
371,TRIMITRA ENGINEERING PERKASA,U 22 E,Jl. Jababeka XVII-I,1,Komponen dan mesin,Mesin,Indonesia,SIB
1740,ACME INDONESIA,GG 3 K,Jl. Industri Selatan 4,2,Kimia,Kimia,Indonesia,SFB
907,TANAKA,P 9 E,Jl. Jababeka IXB,1,,Others,Indonesia,TOB
5350,KANEMITSU SGS INDONESIA,KK 3 M-A,Jl. Industri Selatan 1B,2,Pulley,Baja/Logam,Japan,Kavling
1769,BROSMEDIC RENAL INDONESIA,EE 3 A,Jl. Industri Selatan 5,2,Konsentrat hemodialisis (alat kesehatan),Farmasi,Indonesia,SFB
360,INFINITI NUANSA INTERNASIONAL,V 82 O,Jl. Jababeka IVD,1,Gudang,Others,Indonesia,SIB
864,DECALINDO PRATAMA,HH 17,Jl. Industri Selatan,2,Industri Printing,Packaging,Indonesia,TOB
540,ROKU MITRA TEKNIKATAMA,V 82 Q,Jl. Jababeka IVD,1,"Fasteners, Fabrcation, Auto Lathe",Kimia,Indonesia,SIB
620,INDO METAL TEHNIK,P 9 F,Jl. Jababeka IXB,1,"Mould,Dies,Jigs,Fixtures,Precision part Manufacturing",Metal Fabrication,Indonesia,SFB
540,DUNIA RAYA,V 82 M,Jl. Jababeka IVD,1,Komponen kendaraan bermotor,Otomotif,Taiwan,SIB
1026,SANKITAMA,QQ 9 H,Jl. Industri Selatan 1,2,Jasa electroplating/pelapisan logam,Jasa,Indonesia,TOB
576,DAEINDO INTERNATIONAL,QQ 9 E,Jl. Industri Selatan 1,2,Plastik elektronik dan bumbu roko serta kelengkapan lainnya,Plastik,South Korea,TOB
460,JABAKU KARABA TECHNOLOGIES,KK 3 F,Jl. Industri Selatan 1B,2,Electrical Trading,Mesin,Indonesia,SIB
1200,TUV NORD INDONESIA,B 3 F2,Jl. Science Timur 1,5,Jasa sertifikasi hasil uji dan kalibrasi,Jasa,Germany,SFB
1200,PMP PACKING INDONESIA,B 3 F4,Jl. Science Timur 1,5,PE foam dan bubble wrap,Plastik,South Korea,SFB
408,CAHAYA TEKNIK ABADI,P 10 C,Jl. Jababeka IXB,1,Machinery,Mesin,Indonesia,SIB
1844.55,PENTA CHEMICALS INDONESIA,KK 5 A,Jl. Industri Selatan 1,2,Chemicals construction,Kimia,Indonesia,SFB
1278.98,SEAGULL JAYA TEKNIK,KK 5 B,Jl. Industri Selatan 1,2,Spare part,Otomotif,China,TOB
1650.64,TJANDRANEGARA INVESTINDO,KK 5 D,Jl. Industri Selatan 1,2,Gudang,Others,Indonesia,SFB
576,GAYA STEEL,NN 3 B,Jl. Industri Selatan 1A,2,Industri/jasa berbagai pekerjaan terhadap logam dan barang dari logam,Metal Fabrication,South Korea,TOB
360,GO-S MITRA SEJATI,V 82 G,Jl. Jababeka IVD,1,Molding,Plastik,Indonesia,SIB
10000,SANO GRATIA FARMA,E 3,Jl. East Park Boulevard,6,Industri produk farmasi,Farmasi,Indonesia,Kavling
408,KARYA MANUNGGAL PRESISI,P 10 G,Jl. Jababeka IXB,1,Fabrikasi & Sparepart Industri,Metal Fabrication,Indonesia,SIB
576,SUMBER PRIMA MANDIRI,QQ 9 F,Jl. Industri Selatan 1,2,,Others,Indonesia,TOB
1403,KORRYO INDUSTRY,EE 3 K,Jl. Industri Selatan 5,2,Wire harness and felt cushion,Baja/Logam,South Korea,SFB
1620,CHAMPION PRECISION PARTS INDONESIA,D 1 C,Jl. Tekno Raya,3,Industri mesin dan perkakas mesin-mesin untuk pengerjaan logam,Mesin,Japan,SFB
540,ALFON GLOBAL CEMERLANG,C1 B 6,Jl. East Park Boulevard,6,Konstruksi,Konstruksi,Indonesia,TOB
546,GOLAKI OMNI INDUSTRI,B 3 E,Jl. Samsung 1A,UKM,Manufacture Of Moulding And Profiles For Buildings And Decoration,Mesin,China,TOB
5496,ADYAWINSA ELECTRICAL AND POWER,LL 4-5 A,Jl. Industri Selatan 2,2,Perdagangan besar berbagai barang dan perlengkapan rumah tangga lainnya; perdagangan besar peralatan dan perlengkapan rumah tangga; Industri oven; Perapian dan tungku pembakar sejenis yang menggunakan arus listrik; Industri lampu LED; Industri semi konduktor dan komponen elektronik lainnya,Trading,Indonesia,Kavling
864,AIKO TEKINDO SAKTI,PP 2 F,Jl. Industri Selatan 1,2,"Pin, sapcer, washer, disbrake, drive, sprocket",Otomotif,Indonesia,TOB
7068,PLASTOP INDONESIA MANUFACTURING,SS 6 H,Jl. Industri Utara 1,2,Injection moulding of personal care & health care product,Mesin,Australia,Kavling
3215.76,BASF INDONESIA / BASF INDONESIA AGRICULTURAL SOLUTIONS,A 5 D,Jl. Science Timur 1,5,Pestisida,Kimia,Germany,Kavling
1987,INTI PRESISI TOOLSINDO,A3 9,Jl. Tekno Boulevard,3,Special cutting tools,Mesin,Indonesia,SFB
1403,ADVAN METAL ENGINEERING,EE 3 G,Jl. Industri Selatan 5,2,Industri logam,Metal Fabrication,Indonesia,SFB
1150,SANCHO TEK INDONESIA,A2 5,Jl. Science Boulevard,5,Manufaktur,Jasa,China,SFB
10000,DELTA GIRI WACANA TBK,A 5 E,Jl. Science Timur 1,5,Pestisida,Kimia,Indonesia,Kavling
10000,SEMESTA ALAM SEJATI,A 5 E,Jl. Science Timur 1,5,Pergudangan dan penyimpanan produk (mulsa dan sprayer) serta kegiatan repacking,Packaging,Indonesia,Kavling
864,LEATAT CHEMINDO,HH 16,Jl. Industri Selatan,2,Thiner & cat plastic/Automotive,Kimia,Singapore,TOB
576,SI HEART,QQ 9 D,Jl. Industri Selatan 1,2,"Bearing, roda, gigi, shaft",Otomotif,Japan,TOB
4246,ACE MOLD TECH,D 3 B,Jl. East Park Boulevard,6,Molding,Plastik,South Korea,Kavling
771,PRASTIWAHYU TRIMITRA ENGINEERING,KK 3 B,Jl. Industri Selatan 1B,2,General kontraktor (Perdagangan dalam dan luar negeri),Trading,Indonesia,TOB
